ticker,status,row_count,anomaly_count,error,output_file
P03FRR070328,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR070328_2021-04-24_to_2026-04-24.csv
P03FRR090128,saved,23,10,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR090128_2021-04-24_to_2026-04-24.csv
P03FRR100527,saved,19,19,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR100527_2021-04-24_to_2026-04-24.csv
P03FRR141128,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR141128_2021-04-24_to_2026-04-24.csv
P03FRR180927,saved,37,12,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR180927_2021-04-24_to_2026-04-24.csv
P03FRR211027,saved,57,25,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR211027_2021-04-24_to_2026-04-24.csv
P03FRR220129,saved,12,2,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR220129_2021-04-24_to_2026-04-24.csv
P03FRR240127,saved,26,20,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR240127_2021-04-24_to_2026-04-24.csv
P03FRR280627,saved,56,29,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR280627_2021-04-24_to_2026-04-24.csv
P03FRR300528,saved,16,9,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR300528_2021-04-24_to_2026-04-24.csv
P03FRR300928,saved,1,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03FRR300928_2021-04-24_to_2026-04-24.csv
P03GVR190528,saved,14,6,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03GVR190528_2021-04-24_to_2026-04-24.csv
P03PFL070227,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PFL070227_2021-04-24_to_2026-04-24.csv
P03PFL090226,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PFL090226_2021-04-24_to_2026-04-24.csv
P03PFL191026,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PFL191026_2021-04-24_to_2026-04-24.csv
P03PFL210926,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PFL210926_2021-04-24_to_2026-04-24.csv
P03PIB040726,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PIB040726_2021-04-24_to_2026-04-24.csv
P03PIB150129,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PIB150129_2021-04-24_to_2026-04-24.csv
P03PIB150227,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PIB150227_2021-04-24_to_2026-04-24.csv
P03PIB160128,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PIB160128_2021-04-24_to_2026-04-24.csv
P03PIB170728,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PIB170728_2021-04-24_to_2026-04-24.csv
P03PIB200927,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03PIB200927_2021-04-24_to_2026-04-24.csv
P03TB080126,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03TB080126_2021-04-24_to_2026-04-24.csv
P03TB111225,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03TB111225_2021-04-24_to_2026-04-24.csv
P03VRR090128,saved,27,5,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03VRR090128_2021-04-24_to_2026-04-24.csv
P03VRR100527,saved,21,19,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03VRR100527_2021-04-24_to_2026-04-24.csv
P03VRR180927,saved,36,11,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03VRR180927_2021-04-24_to_2026-04-24.csv
P03VRR211027,saved,84,20,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03VRR211027_2021-04-24_to_2026-04-24.csv
P03VRR240127,saved,81,46,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03VRR240127_2021-04-24_to_2026-04-24.csv
P03VRR280627,saved,87,38,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P03VRR280627_2021-04-24_to_2026-04-24.csv
P05FRR070330,saved,4,2,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR070330_2021-04-24_to_2026-04-24.csv
P05FRR090130,saved,34,17,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR090130_2021-04-24_to_2026-04-24.csv
P05FRR100529,saved,41,26,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR100529_2021-04-24_to_2026-04-24.csv
P05FRR141130,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR141130_2021-04-24_to_2026-04-24.csv
P05FRR180929,saved,36,14,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR180929_2021-04-24_to_2026-04-24.csv
P05FRR211029,saved,78,31,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR211029_2021-04-24_to_2026-04-24.csv
P05FRR220131,saved,25,5,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR220131_2021-04-24_to_2026-04-24.csv
P05FRR240129,saved,49,22,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR240129_2021-04-24_to_2026-04-24.csv
P05FRR280629,saved,59,32,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR280629_2021-04-24_to_2026-04-24.csv
P05FRR300530,saved,51,11,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR300530_2021-04-24_to_2026-04-24.csv
P05FRR300930,saved,46,6,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05FRR300930_2021-04-24_to_2026-04-24.csv
P05GIS091225,saved,337,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05GIS091225_2021-04-24_to_2026-04-24.csv
P05PFL031029,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL031029_2021-04-24_to_2026-04-24.csv
